192.168.2.188,172.217.20.69,91122,443,1551880388
192.168.2.106,23.78.217.142,91233,443,1551930010
192.168.2.61,13.91.60.30,7125,80,1551843654
192.168.2.253,213.254.244.21,91212,443,1551924432
192.168.2.176,64.233.177.95,91239,443,1551927611
192.168.2.96,157.240.24.12,91211,443,1551899615
192.168.2.129,5.9.51.76,12,443,1551917232
192.168.2.108,159.122.76.160,7212,443,1551928425
192.168.2.129,13.126.79.242,7178,80,1551917232
192.168.2.104,4.2.2.2,5212,0,1551921236
192.168.2.193,13.251.146.226,91239,443,1551940452
192.168.2.140,172.217.166.74,188239,0,1551904434
192.168.2.105,172.217.20.68,91126,443,1551936458
157.240.7.52,192.168.2.96,0,0,1551786842
192.168.2.130,108.174.11.21,91233,443,1551855732
192.168.2.78,195.201.59.240,5,443,1551839614
192.168.2.105,23.198.66.13,91212,0,1551939663
192.168.2.104,23.78.217.190,768,80,1551860555
192.168.2.105,52.113.67.81,91125,443,1551884375
192.168.2.86,74.125.130.189,188,0,1551859760
192.168.2.104,108.174.10.10,91233,443,1551921236
192.168.2.104,63.140.45.10,91126,443,1551919647
192.168.2.193,172.217.163.142,91126,443,1551919647
192.168.2.119,172.217.166.68,91126,443,1551940452
192.168.2.105,13.249.11.30,91119,443,1551939663
13.107.18.11,192.168.2.116,91125,443,1551936458
192.168.2.140,172.217.166.36,188126,0,1551914841
192.168.2.99,40.100.140.242,91219,443,1551932420
192.168.2.183,204.154.111.128,70,0,1551906046
192.168.2.104,23.78.217.66,5125,443,1551926825
192.168.2.140,140.177.18.14,70,0,1551802284
192.168.2.153,209.99.64.52,70,0,1551930833
192.168.2.101,40.100.141.2,188,443,1551838819
52.113.67.80,192.168.2.69,91219,443,1551919647
192.168.2.102,107.150.122.40,5142,0,1551833939
192.168.2.57,203.99.197.181,8,443,1551905225
52.109.56.34,192.168.2.86,91219,0,1551845301
192.168.2.143,40.126.12.34,91219,443,1551918035
192.168.2.89,182.50.132.52,70,80,1551934039
172.217.160.196,192.168.2.104,188,0,1551860555
192.168.2.135,54.148.157.193,12,443,1551935654
192.168.2.129,180.179.20.208,760,80,1551917232
192.168.2.51,192.168.2.2,154,0,1551940452
192.168.2.140,151.101.40.64,91212,443,1551885989
192.168.2.76,172.217.160.173,91126,443,1551898804
192.168.2.253,23.212.232.94,91219,443,1551837180
192.168.2.104,74.125.158.57,188124,0,1551935654
104.82.207.208,192.168.2.77,0,443,1551893204
192.168.2.195,209.205.217.82,5,443,1551891593
192.168.2.77,52.97.146.194,154,0,1551829069
192.168.2.86,162.247.242.21,5,443,1551826618
